Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current 	 Lift Position 	 Lift Rate
714.592095	-2.431496062992126	-2.431496062992126	-2.431496062992126	-6.03125	-6.03125	-6.03125	2.125	5.0	2.875	7.25	6.875	7.125	124.45330739608615	0.11620742014442528	0.0	0.0	879.2438191454826	-2.5895581196754476	1267.2556446050507	NaN	0.0	0.875	0.0	0.0
714.691971	-2.481889763779528	-2.481889763779528	-2.481889763779528	-6.156250000000001	-6.156250000000001	-6.156250000000001	1.875	3.625	4.625	7.625	6.25	7.0	124.46468134885329	0.11535592530625564	0.0	0.0	875.4864743317893	-2.7947665286978114	1267.2682109756652	NaN	0.0	0.875	0.0	0.0
714.7915	-2.469291338582677	-2.469291338582677	-2.469291338582677	-7.04375	-7.04375	-7.04375	2.375	3.375	3.125	7.125	6.5	6.875	124.47658983003721	0.12472236852612172	0.0	0.0	871.6160321825666	-2.9623181368892673	1267.2682109756652	0.0	0.0	0.875	0.0	0.0
714.892392	-2.355905511811024	-2.355905511811024	-2.355905511811024	-7.231640625000001	-7.231640625000001	-7.231640625000001	2.25	5.375	2.625	9.625	8.75	7.375	124.49079881326803	0.12233818297924669	0.0	0.0	867.3183334324558	-3.153479289871337	1267.2682109756652	0.0	0.0	0.875	0.0	0.0
714.99204	-2.3811023622047243	-2.3811023622047243	-2.3811023622047243	-6.644531249999999	-6.644531249999999	-6.644531249999999	1.625	3.125	4.5	10.875	9.5	8.5	124.50290013065295	0.12097579123817527	0.0	0.0	862.9075373468157	-3.3294898142044973	1267.2682109756652	0.0	0.0	0.875	0.0	0.0
715.092111	-2.5322834645669294	-2.5322834645669294	-2.5322834645669294	-5.81015625	-5.81015625	-5.81015625	2.0	3.125	2.875	5.625	5.0	8.5	124.51487627366178	0.11842130672366635	0.0	0.0	858.7103695616197	-3.4264303875152677	1267.331042828737	0.008462202433911903	0.0	0.875	0.0	0.0
715.192161	-2.5322834645669294	-2.5322834645669294	-2.5322834645669294	-5.81015625	-5.81015625	-5.81015625	2.0	4.625	3.25	5.625	4.375	4.5	124.52664943119589	0.12046489433527349	0.0	0.0	854.8524937830115	-3.4431855483344136	1267.682901205939	0.0676976194712952	0.0	0.875	0.0	0.0
715.29189	-2.469291338582677	-2.469291338582677	-2.469291338582677	-7.120312500000001	-7.120312500000001	-7.120312500000001	1.875	3.25	3.75	5.75	4.875	5.25	124.53870000221212	0.12199758504397885	0.0	0.0	850.9694852631745	-3.4431855483344136	1268.097591436213	0.1353952389425904	0.0	0.875	0.0	0.0
715.391379	-2.4555118110236216	-2.4555118110236216	-2.4555118110236216	-7.4566406249999995	-7.4566406249999995	-7.4566406249999995	1.875	3.0	2.625	9.375	8.5	7.75	124.5506051003048	0.11774011085313064	0.0	0.0	846.54612280692	-3.459940709153559	1268.4997152958724	0.1438574413765023	0.0	0.875	0.0	0.0
715.49157	-2.3775590551181103	-2.3775590551181103	-2.3775590551181103	-7.505859375	-7.505859375	-7.505859375	1.625	3.5	2.75	10.875	10.0	8.625	124.56250004912376	0.11739951291786277	0.0	0.0	841.64523826732	-3.5435472692006087	1268.876706414303	0.12693303650867854	0.0	1.0	0.0	0.0
715.591358	-2.52992125984252	-2.52992125984252	-2.52992125984252	-7.751953124999999	-7.751953124999999	-7.751953124999999	1.75	2.875	4.75	10.75	8.625	9.625	124.57412435064309	0.11603712117679135	0.0	0.0	836.4427608329753	-3.719476457801636	1269.1657329384334	0.11052672566742075	0.0	1.0	0.0	0.0
715.692013	-3.0023622047244096	-3.0023622047244096	-3.0023622047244096	-7.628906250000001	-7.628906250000001	-7.628906250000001	1.875	3.125	2.875	11.25	8.625	9.5	124.58609711056064	0.12182728607634492	0.0	0.0	831.0769205806439	-3.961928611635114	1269.5929895393217	0.11831195190661972	0.0	1.0	0.0	0.0
715.792512	-4.88503937007874	-4.88503937007874	-4.88503937007874	-7.784375000000001	-7.784375000000001	-7.784375000000001	2.0	4.75	3.0	10.625	8.5	8.625	124.59797514392338	0.11739951291786277	0.0	0.0	825.6608148458552	-4.213256023922297	1270.3344054055688	NaN	0.0	0.875	0.0	0.0
715.893003	-4.729133858267717	-4.729133858267717	-4.729133858267717	-8.1046875	-8.1046875	-8.1046875	2.375	4.0	5.0	10.125	7.875	7.375	124.60956223143899	0.11688861601496099	0.0	0.0	820.3326737053668	-4.355260159181591	1272.1439627740365	NaN	0.0	0.875	0.0	0.0
715.993574	-4.4173228346456686	-4.4173228346456686	-4.4173228346456686	-7.703125	-7.703125	-7.703125	5.0	10.125	5.0	10.5	8.0	10.625	124.62121359768827	0.11433413150045207	0.0	0.0	814.8034706350488	-4.455960368145143	1274.6195377850654	NaN	0.0	1.0	0.0	0.0
716.093238	-4.469291338582678	-4.469291338582678	-4.469291338582678	-7.860937500000001	-7.860937500000001	-7.860937500000001	3.75	4.875	7.375	12.875	10.875	10.25	124.63312884505467	0.1235302757526842	0.0	0.0	809.3496657884169	-4.497848270193007	1277.3967056908386	NaN	0.0	0.875	0.0	0.0
716.193804	-4.891732283464567	-4.891732283464567	-4.891732283464567	-8.681640625	-8.681640625	-8.681640625	3.375	5.875	5.0	13.625	11.75	11.375	124.6452064808009	0.12233818297924669	0.0	0.0	803.8707282005563	-4.514437538330775	1280.488032861971	NaN	0.0	0.875	0.0	0.0
716.293428	-5.026771653543308	-5.026771653543308	-5.026771653543308	-8.4	-8.4	-8.4	3.25	6.375	4.0	14.375	12.5	13.0	124.65724351945212	0.12097579123817527	0.0	0.0	798.2535605359377	-4.556325440378639	1283.74272285109	2.7281294426688576	0.0	0.875	0.0	0.0
716.393402	-5.131889763779528	-5.131889763779528	-5.131889763779528	-8.25	-8.25	-8.25	3.375	4.875	6.125	15.75	12.75	13.875	124.66943618030068	0.12318967781741634	0.0	0.0	792.6489592419335	-4.616398699241161	1287.236173881882	NaN	0.0	0.875	0.0	0.0
